Unnamed: 0,date,city,country,avg_temp_c
1380,2005-01-01,Bangkok,Thailand,25.323
1381,2005-02-01,Bangkok,Thailand,28.225
1382,2005-03-01,Bangkok,Thailand,28.82500000000001
1383,2005-04-01,Bangkok,Thailand,30.21
1384,2005-05-01,Bangkok,Thailand,30.023000000000003
1385,2005-06-01,Bangkok,Thailand,29.096
1386,2005-07-01,Bangkok,Thailand,28.241
1387,2005-08-01,Bangkok,Thailand,28.25500000000001
1388,2005-09-01,Bangkok,Thailand,27.846
1389,2005-10-01,Bangkok,Thailand,27.514
1390,2005-11-01,Bangkok,Thailand,26.702
1391,2005-12-01,Bangkok,Thailand,24.832
1392,2006-01-01,Bangkok,Thailand,25.842
1393,2006-02-01,Bangkok,Thailand,27.943
1394,2006-03-01,Bangkok,Thailand,29.42100000000001
1395,2006-04-01,Bangkok,Thailand,29.77
1396,2006-05-01,Bangkok,Thailand,28.846
1397,2006-06-01,Bangkok,Thailand,28.531
1398,2006-07-01,Bangkok,Thailand,28.237
1399,2006-08-01,Bangkok,Thailand,27.902
1400,2006-09-01,Bangkok,Thailand,27.82
1401,2006-10-01,Bangkok,Thailand,27.66
1402,2006-11-01,Bangkok,Thailand,27.815
1403,2006-12-01,Bangkok,Thailand,25.23
1404,2007-01-01,Bangkok,Thailand,25.776
1405,2007-02-01,Bangkok,Thailand,27.089
1406,2007-03-01,Bangkok,Thailand,29.75800000000001
1407,2007-04-01,Bangkok,Thailand,29.932
1408,2007-05-01,Bangkok,Thailand,28.608
1409,2007-06-01,Bangkok,Thailand,29.063
1410,2007-07-01,Bangkok,Thailand,27.907
1411,2007-08-01,Bangkok,Thailand,28.375
1412,2007-09-01,Bangkok,Thailand,28.025
1413,2007-10-01,Bangkok,Thailand,27.141
1414,2007-11-01,Bangkok,Thailand,25.519
1415,2007-12-01,Bangkok,Thailand,26.253
1416,2008-01-01,Bangkok,Thailand,25.772
1417,2008-02-01,Bangkok,Thailand,26.988000000000003
1418,2008-03-01,Bangkok,Thailand,28.76400000000001
1419,2008-04-01,Bangkok,Thailand,29.468000000000004
1420,2008-05-01,Bangkok,Thailand,28.547
1421,2008-06-01,Bangkok,Thailand,28.467
1422,2008-07-01,Bangkok,Thailand,28.066
1423,2008-08-01,Bangkok,Thailand,28.331000000000003
1424,2008-09-01,Bangkok,Thailand,27.812
1425,2008-10-01,Bangkok,Thailand,27.606
1426,2008-11-01,Bangkok,Thailand,25.874
1427,2008-12-01,Bangkok,Thailand,24.076
1428,2009-01-01,Bangkok,Thailand,23.707
1429,2009-02-01,Bangkok,Thailand,27.786
1430,2009-03-01,Bangkok,Thailand,29.048
1431,2009-04-01,Bangkok,Thailand,29.97300000000001
1432,2009-05-01,Bangkok,Thailand,28.865
1433,2009-06-01,Bangkok,Thailand,28.603
1434,2009-07-01,Bangkok,Thailand,28.224
1435,2009-08-01,Bangkok,Thailand,28.844
1436,2009-09-01,Bangkok,Thailand,28.308000000000003
1437,2009-10-01,Bangkok,Thailand,27.564
1438,2009-11-01,Bangkok,Thailand,26.533
1439,2009-12-01,Bangkok,Thailand,25.97300000000001
1440,2010-01-01,Bangkok,Thailand,26.615
