,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
0,Jet Airways,9/6/2019,Delhi,Cochin,DEL → LKO → BOM → COK,9:25,10/6/2023 4:25,19h,2 stops,No info,13882
1,IndiGo,12/5/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218
2,IndiGo,1/3/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302
3,SpiceJet,24/6/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,2h 25m,non-stop,No info,3873
4,Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,13/3/2023 10:25,15h 30m,1 stop,In-flight meal not included,11087
5,Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,2/3/2023 5:05,21h 5m,1 stop,No info,22270
6,Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:55,13/3/2023 10:25,25h 30m,1 stop,In-flight meal not included,11087
7,Multiple carriers,27/5/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625
8,Air India,1/6/2019,Delhi,Cochin,DEL → BLR → COK,9:45,23:00,13h 15m,1 stop,No info,8907
9,IndiGo,18/4/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174
10,Air India,24/6/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
11,Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10/5/2023 9:20,12h 10m,1 stop,In-flight meal not included,9663
12,IndiGo,24/4/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
13,Air India,3/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,4/3/2023 19:15,26h 35m,2 stops,No info,14011
14,SpiceJet,15/4/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,4h 30m,1 stop,No info,5830
15,Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,13/6/2023 12:35,22h 35m,1 stop,In-flight meal not included,10262
16,Air India,12/6/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,13/6/2023 19:15,23h,2 stops,No info,13381
17,Jet Airways,27/5/2019,Delhi,Cochin,DEL → BOM → COK,16:00,28/5/2023 12:35,20h 35m,1 stop,In-flight meal not included,12898
18,GoAir,6/3/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,,19495
19,Air India,21/3/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,19/3/2023 13:20,15h 20m,1 stop,No info,6955
20,IndiGo,3/4/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,3943
21,IndiGo,1/5/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
22,Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,7/5/2023 8:15,13h 20m,1 stop,In-flight meal not included,7757
23,Jet Airways,9/6/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,10/6/2023 12:35,15h 10m,2 stops,No info,13292
24,IndiGo,1/6/2019,Delhi,Cochin,DEL → LKO → COK,21:50,2/6/2023 3:35,5h 45m,1 stop,No info,8238
25,GoAir,15/5/2019,Delhi,Cochin,DEL → BOM → COK,7:00,12:55,5h 55m,1 stop,No info,7682
26,Vistara,18/6/2019,Banglore,Delhi,BLR → DEL,9:45,12:35,2h 50m,non-stop,No info,4668
27,Vistara,15/6/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687
28,Vistara,18/6/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687
29,Air India,1/5/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,9:50,23:15,13h 25m,2 stops,No info,13227
30,IndiGo,6/4/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,4423
31,Jet Airways,15/6/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,16/6/2023 12:35,22h,2 stops,In-flight meal not included,10919
32,Jet Airways,18/5/2019,Delhi,Cochin,DEL → BOM → COK,7:05,12:35,5h 30m,1 stop,In-flight meal not included,12373
33,IndiGo,27/6/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894
